Variable:,tas
,"American Samoa","Administrative unit not available"
1901,26.20,26.20
1902,26.20,26.20
1903,25.95,25.95
1904,25.69,25.69
1905,25.77,25.77
1906,26.23,26.23
1907,25.78,25.78
1908,25.80,25.80
1909,25.56,25.56
1910,25.66,25.66
1911,26.23,26.23
1912,26.62,26.62
1913,26.44,26.44
1914,26.68,26.68
1915,26.09,26.09
1916,25.83,25.83
1917,25.71,25.71
1918,25.90,25.90
1919,26.66,26.66
1920,26.61,26.61
1921,26.64,26.64
1922,26.87,26.87
1923,26.24,26.24
1924,26.77,26.77
1925,26.42,26.42
1926,26.60,26.60
1927,26.75,26.75
1928,26.53,26.53
1929,26.31,26.31
1930,26.35,26.35
1931,26.31,26.31
1932,26.57,26.57
1933,26.39,26.39
1934,26.35,26.35
1935,26.68,26.68
1936,26.47,26.47
1937,26.45,26.45
1938,26.76,26.76
1939,26.29,26.29
1940,26.55,26.55
1941,26.78,26.78
1942,26.57,26.57
1943,26.55,26.55
1944,26.34,26.34
1945,26.44,26.44
1946,26.44,26.44
1947,26.61,26.61
1948,26.30,26.30
1949,26.59,26.59
1950,26.62,26.62
1951,26.53,26.53
1952,26.92,26.92
1953,26.67,26.67
1954,26.76,26.76
1955,26.62,26.62
1956,26.46,26.46
1957,26.62,26.62
1958,26.75,26.75
1959,26.85,26.85
1960,26.69,26.69
1961,26.61,26.61
1962,26.55,26.55
1963,26.56,26.56
1964,26.50,26.50
1965,26.24,26.24
1966,26.59,26.59
1967,26.30,26.30
1968,26.52,26.52
1969,26.61,26.61
1970,26.62,26.62
1971,26.14,26.14
1972,26.49,26.49
1973,26.66,26.66
1974,26.12,26.12
1975,26.37,26.37
1976,26.28,26.28
1977,26.62,26.62
1978,26.53,26.53
1979,26.74,26.74
1980,26.79,26.79
1981,26.58,26.58
1982,26.68,26.68
1983,26.81,26.81
1984,26.69,26.69
1985,26.71,26.71
1986,26.71,26.71
1987,26.52,26.52
1988,26.87,26.87
1989,26.52,26.52
1990,27.00,27.00
1991,27.05,27.05
1992,27.06,27.06
1993,26.86,26.86
1994,26.98,26.98
1995,27.36,27.36
1996,27.45,27.45
1997,27.33,27.33
1998,27.42,27.42
1999,27.22,27.22
2000,27.49,27.49
2001,28.00,28.00
2002,28.00,28.00
2003,27.43,27.43
2004,27.38,27.38
2005,27.64,27.64
2006,27.34,27.34
2007,27.67,27.67
2008,27.43,27.43
2009,27.34,27.34
2010,27.36,27.36
2011,27.04,27.04
2012,27.12,27.12
2013,27.39,27.39
2014,27.23,27.23
2015,27.15,27.15
2016,27.64,27.64
2017,27.48,27.48
2018,27.33,27.33
2019,27.56,27.56
2020,27.52,27.52
2021,27.34,27.34
