"Bahamas, The","Administrative unit not available"
1901,23.25,23.81
1902,24.07,24.48
1903,23.79,24.25
1904,23.77,24.21
1905,24.35,24.74
1906,23.83,24.26
1907,24.34,24.67
1908,24.29,24.64
1909,24.16,24.53
1910,23.11,23.61
1911,24.56,24.87
1912,24.67,25.00
1913,24.30,24.64
1914,23.87,24.29
1915,23.81,24.29
1916,23.93,24.35
1917,23.74,24.14
1918,24.12,24.51
1919,24.34,24.70
1920,24.03,24.44
1921,24.52,24.83
1922,24.40,24.73
1923,24.23,24.62
1924,24.49,24.91
1925,24.59,24.93
1926,24.43,24.85
1927,24.44,24.81
1928,24.09,24.52
1929,24.83,25.13
1930,24.20,24.60
1931,24.11,24.57
1932,24.62,25.00
1933,24.64,25.01
1934,24.26,24.65
1935,24.12,24.53
1936,24.43,24.82
1937,24.43,24.83
1938,24.37,24.74
1939,24.66,25.01
1940,23.66,24.18
1941,24.35,24.77
1942,24.18,24.64
1943,24.06,24.48
1944,24.31,24.69
1945,24.44,24.73
1946,24.98,25.16
1947,24.70,25.00
1948,25.33,25.59
1949,24.87,25.07
1950,24.32,24.57
1951,24.33,24.67
1952,24.40,24.75
1953,24.69,25.00
1954,24.10,24.55
1955,24.18,24.54
1956,24.00,24.40
1957,24.70,25.09
1958,24.07,24.68
1959,24.74,25.19
1960,24.13,24.73
1961,24.50,24.96
1962,24.13,24.67
1963,24.07,24.62
1964,24.61,25.06
1965,24.55,24.91
1966,24.00,24.52
1967,24.51,24.85
1968,23.62,24.15
1969,24.01,24.55
1970,24.06,24.51
1971,24.51,24.85
1972,24.94,25.23
1973,24.52,24.95
1974,24.78,25.01
1975,25.02,25.26
1976,24.11,24.51
1977,24.18,24.67
1978,24.39,24.80
1979,24.58,24.96
1980,24.49,24.99
1981,24.21,24.73
1982,25.26,25.53
1983,24.44,24.98
1984,24.34,24.77
1985,24.51,24.90
1986,24.90,25.23
1987,24.59,25.12
1988,24.63,25.14
1989,24.99,25.35
1990,25.46,25.77
1991,25.39,25.74
1992,24.59,25.12
1993,24.90,25.33
1994,25.47,25.87
1995,24.93,25.40
1996,24.59,25.02
1997,25.10,25.58
1998,25.31,25.77
1999,24.88,25.31
2000,24.75,25.19
2001,24.85,25.31
2002,25.25,25.69
2003,25.11,25.58
2004,24.90,25.36
2005,24.93,25.35
2006,25.05,25.50
2007,25.34,25.67
2008,25.00,25.34
2009,25.17,25.50
2010,24.22,24.67
2011,25.30,25.56
2012,25.05,25.42
2013,25.23,25.62
2014,25.23,25.70
2015,26.14,26.47
2016,25.56,25.96
2017,25.69,26.04
2018,25.47,25.86
2019,25.96,26.30
2020,25.99,26.32
2021,25.50,25.88
