Cambodia,"Banteay Meanchey",Battambang,"Kampong Cham","Kampong Chhnang","Kampong Speu","Kampong Thom",Kampot,Kandal,"Koh Kong",Kep,Kratie,"Preah Sihanouk","Mondul Kiri","Otdar Meanchey",Pailin,"Phnom Penh","Preah Vihear","Prey Veng",Pursat,"Ratanak Kiri","Siem Reap","Stung Treng","Svay Rieng",Takeo,"Area under National Administration 2","Area under National Administration 1"
1901,26.86,27.81,27.32,27.33,27.28,26.74,27.33,26.94,27.64,26.17,26.91,26.80,26.91,25.57,27.31,26.84,27.61,27.13,27.60,26.33,25.56,27.56,26.51,27.54,27.53,27.62,27.62
1902,26.87,27.79,27.32,27.36,27.30,26.76,27.36,26.97,27.67,26.19,26.93,26.82,26.93,25.59,27.31,26.83,27.63,27.14,27.64,26.35,25.58,27.57,26.53,27.57,27.56,27.64,27.64
1903,26.59,27.41,26.94,27.13,27.01,26.47,27.08,26.70,27.42,25.86,26.68,26.61,26.65,25.42,26.93,26.44,27.36,26.84,27.41,25.99,25.41,27.20,26.31,27.36,27.32,27.29,27.29
1904,26.42,27.27,26.79,26.93,26.82,26.28,26.89,26.51,27.23,25.69,26.47,26.42,26.45,25.26,26.80,26.29,27.16,26.66,27.21,25.82,25.25,27.06,26.12,27.18,27.13,27.13,27.13
1905,27.66,28.64,28.17,28.12,28.14,27.61,28.17,27.78,28.47,27.06,27.75,27.54,27.78,26.18,28.17,27.66,28.46,27.96,28.39,27.22,26.17,28.44,27.25,28.26,28.36,28.50,28.50
1906,27.66,28.66,28.19,28.12,28.16,27.62,28.18,27.77,28.46,27.07,27.73,27.53,27.79,26.17,28.17,27.68,28.45,27.96,28.38,27.22,26.16,28.43,27.24,28.24,28.34,28.51,28.51
1907,26.62,27.49,27.01,27.13,27.04,26.50,27.10,26.72,27.43,25.91,26.69,26.60,26.66,25.42,27.02,26.50,27.38,26.88,27.40,26.05,25.40,27.28,26.30,27.35,27.32,27.35,27.35
1908,26.71,27.58,27.11,27.21,27.13,26.59,27.19,26.81,27.51,26.00,26.78,26.68,26.76,25.47,27.11,26.60,27.47,26.97,27.48,26.14,25.46,27.37,26.38,27.42,27.41,27.44,27.44
1909,26.73,27.64,27.16,27.22,27.16,26.62,27.21,26.82,27.53,26.04,26.79,26.69,26.79,25.49,27.16,26.66,27.49,27.00,27.49,26.19,25.47,27.42,26.40,27.44,27.43,27.49,27.49
1910,26.58,27.42,26.95,27.10,27.00,26.46,27.06,26.68,27.39,25.86,26.65,26.59,26.63,25.40,26.95,26.43,27.34,26.84,27.37,25.99,25.39,27.22,26.29,27.35,27.29,27.29,27.29
1911,27.15,28.09,27.61,27.62,27.60,27.06,27.64,27.28,27.95,26.50,27.25,27.06,27.26,25.80,27.61,27.10,27.93,27.43,27.90,26.64,25.78,27.86,26.78,27.81,27.86,27.94,27.94
1912,26.93,27.79,27.33,27.43,27.37,26.85,27.42,27.10,27.76,26.25,27.09,26.89,27.07,25.65,27.31,26.82,27.73,27.19,27.72,26.37,25.63,27.59,26.60,27.66,27.68,27.67,27.67
1913,26.56,27.42,26.94,27.07,26.96,26.45,27.03,26.73,27.38,25.86,26.71,26.55,26.69,25.37,26.94,26.47,27.33,26.80,27.36,25.98,25.36,27.20,26.25,27.33,27.32,27.27,27.27
1914,26.84,27.67,27.22,27.36,27.28,26.76,27.33,27.03,27.67,26.16,27.02,26.82,26.99,25.60,27.20,26.71,27.63,27.09,27.64,26.27,25.58,27.48,26.52,27.60,27.60,27.56,27.56
1915,26.56,27.39,26.93,27.06,26.96,26.45,27.02,26.75,27.39,25.86,26.74,26.55,26.68,25.37,26.92,26.44,27.34,26.79,27.36,25.96,25.36,27.18,26.25,27.34,27.34,27.25,27.25
1916,26.25,27.02,26.55,26.78,26.63,26.12,26.71,26.43,27.10,25.51,26.42,26.29,26.36,25.16,26.55,26.06,27.02,26.47,27.09,25.60,25.15,26.81,25.98,27.08,27.04,26.90,26.90
1917,26.27,27.08,26.62,26.79,26.65,26.13,26.73,26.42,27.09,25.53,26.40,26.29,26.36,25.15,26.61,26.13,27.02,26.50,27.08,25.65,25.14,26.87,25.99,27.08,27.02,26.95,26.95
1918,26.76,27.63,27.16,27.27,27.18,26.66,27.24,26.86,27.57,26.06,26.83,26.73,26.81,25.52,27.16,26.65,27.54,27.02,27.54,26.20,25.52,27.43,26.44,27.48,27.46,27.50,27.50
1919,26.85,27.77,27.29,27.33,27.27,26.75,27.33,27.01,27.67,26.19,26.99,26.80,26.98,25.57,27.28,26.80,27.61,27.11,27.63,26.31,25.56,27.53,26.50,27.57,27.60,27.60,27.60
1920,26.69,27.58,27.10,27.19,27.11,26.58,27.17,26.84,27.51,26.01,26.82,26.66,26.81,25.45,27.11,26.61,27.45,26.95,27.48,26.13,25.44,27.36,26.37,27.43,27.43,27.42,27.42
1921,26.23,27.06,26.59,26.74,26.60,26.08,26.68,26.37,27.04,25.49,26.36,26.25,26.32,25.11,26.58,26.11,26.97,26.46,27.04,25.61,25.10,26.83,25.95,27.05,26.97,26.91,26.91
1922,26.51,27.35,26.83,26.98,26.87,26.35,26.96,26.62,27.29,25.74,26.61,26.49,26.58,25.35,26.95,26.32,27.23,26.83,27.27,25.87,25.45,27.14,26.32,27.25,27.21,27.17,27.17
1923,26.24,27.07,26.53,26.68,26.55,26.03,26.65,26.32,26.98,25.43,26.31,26.23,26.28,25.14,26.69,26.05,26.91,26.58,26.98,25.55,25.31,26.85,26.13,26.99,26.93,26.86,26.86
1924,26.44,27.30,26.78,26.90,26.77,26.25,26.87,26.52,27.20,25.67,26.50,26.42,26.47,25.29,26.89,26.28,27.15,26.76,27.18,25.79,25.40,27.08,26.26,27.17,27.11,27.10,27.10
1925,26.39,27.19,26.72,26.89,26.77,26.25,26.85,26.52,27.20,25.64,26.51,26.40,26.48,25.26,26.76,26.24,27.14,26.65,27.18,25.76,25.28,27.00,26.15,27.17,27.12,27.06,27.06
1926,26.84,27.76,27.28,27.31,27.25,26.72,27.31,26.96,27.62,26.15,26.95,26.77,26.93,25.56,27.29,26.79,27.58,27.12,27.59,26.29,25.58,27.52,26.51,27.53,27.54,27.58,27.58
