Comoros,Anjouan,Moheli,Ngazidja
1901,22.80,23.46,24.40,22.93
1902,23.03,23.64,24.61,23.17
1903,22.89,23.50,24.48,23.02
1904,22.74,23.44,24.38,22.87
1905,22.98,23.59,24.56,23.11
1906,22.74,23.45,24.38,22.87
1907,22.79,23.45,24.39,22.92
1908,23.02,23.62,24.59,23.15
1909,22.84,23.50,24.45,22.97
1910,22.75,23.42,24.37,22.88
1911,22.87,23.51,24.46,23.00
1912,23.02,23.66,24.62,23.15
1913,23.11,23.76,24.72,23.24
1914,23.15,23.84,24.78,23.28
1915,23.17,23.84,24.78,23.30
1916,23.00,23.58,24.58,23.14
1917,22.98,23.53,24.51,23.12
1918,23.06,23.68,24.64,23.20
1919,23.12,23.78,24.75,23.25
1920,23.04,23.65,24.63,23.18
1921,23.04,23.61,24.58,23.18
1922,22.97,23.51,24.49,23.11
1923,23.20,23.92,24.84,23.33
1924,23.12,23.82,24.77,23.25
1925,23.18,23.88,24.83,23.31
1926,23.21,24.06,24.92,23.34
1927,23.05,23.73,24.67,23.19
1928,23.10,23.81,24.74,23.24
1929,23.14,23.88,24.80,23.28
1930,23.01,23.67,24.61,23.15
1931,23.03,23.49,24.53,23.17
1932,22.99,23.56,24.54,23.13
1933,22.97,23.56,24.53,23.11
1934,22.96,23.50,24.48,23.10
1935,22.93,23.56,24.48,23.07
1936,23.02,23.70,24.62,23.16
1937,23.02,23.72,24.64,23.16
1938,23.04,23.72,24.65,23.18
1939,22.99,23.67,24.58,23.13
1940,22.92,23.45,24.44,23.07
1941,23.17,23.76,24.74,23.31
1942,23.14,23.67,24.65,23.28
1943,22.82,23.27,24.29,22.96
1944,23.16,23.76,24.69,23.30
1945,23.07,23.74,24.64,23.21
1946,22.97,23.58,24.51,23.11
1947,23.10,23.73,24.67,23.24
1948,23.35,23.88,24.89,23.49
1949,23.20,23.69,24.71,23.34
1950,23.07,23.60,24.59,23.21
1951,23.21,23.69,24.69,23.36
1952,23.31,23.72,24.75,23.46
1953,23.21,23.71,24.72,23.36
1954,23.09,23.62,24.63,23.24
1955,22.94,23.48,24.48,23.08
1956,22.73,23.30,24.30,22.88
1957,22.91,23.46,24.46,23.06
1958,23.21,23.68,24.68,23.35
1959,23.02,23.50,24.51,23.16
1960,22.90,23.40,24.40,23.05
1961,23.48,24.05,25.03,23.62
1962,22.97,23.53,24.52,23.12
1963,22.79,23.33,24.32,22.93
1964,22.74,23.27,24.27,22.88
1965,22.68,23.18,24.20,22.82
1966,23.28,23.82,24.82,23.42
1967,23.18,23.74,24.72,23.32
1968,22.75,23.26,24.27,22.89
1969,23.35,23.95,24.91,23.49
1970,23.18,23.72,24.71,23.32
1971,22.55,23.08,24.08,22.70
1972,22.84,23.36,24.36,22.98
1973,22.85,23.31,24.31,22.99
1974,22.44,22.90,23.93,22.59
1975,22.61,23.09,24.11,22.75
1976,22.68,23.20,24.18,22.83
1977,23.04,23.61,24.59,23.18
1978,22.92,23.45,24.44,23.06
1979,22.97,23.49,24.47,23.11
1980,22.98,23.49,24.48,23.12
1981,22.78,23.31,24.30,22.93
1982,22.94,23.47,24.45,23.08
1983,23.17,23.61,24.59,23.32
1984,22.53,22.97,23.97,22.67
1985,22.66,23.13,24.13,22.80
1986,22.80,23.26,24.25,22.95
1987,23.34,23.82,24.82,23.48
1988,23.31,23.74,24.77,23.46
1989,22.66,23.17,24.16,22.80
1990,23.12,23.59,24.60,23.26
1991,22.96,23.43,24.44,23.10
1992,23.07,23.54,24.55,23.21
1993,22.98,23.45,24.48,23.13
1994,23.23,23.75,24.74,23.37
1995,23.19,23.66,24.66,23.33
1996,23.00,23.45,24.45,23.14
1997,23.26,23.76,24.76,23.40
1998,23.53,24.01,25.01,23.68
1999,23.10,23.59,24.59,23.24
2000,23.12,23.61,24.60,23.26
2001,23.20,23.70,24.69,23.34
2002,23.20,23.70,24.70,23.34
2003,23.25,23.79,24.78,23.40
2004,23.13,23.61,24.62,23.28
2005,23.43,23.93,24.95,23.57
2006,23.29,23.76,24.77,23.43
2007,23.57,24.09,25.08,23.71
2008,23.16,23.70,24.67,23.30
2009,23.49,24.01,25.02,23.64
2010,23.57,24.13,25.11,23.71
2011,23.40,23.99,24.94,23.54
2012,23.31,23.88,24.86,23.45
2013,23.38,23.90,24.89,23.52
2014,23.41,23.96,24.93,23.55
2015,23.63,24.15,25.14,23.77
2016,23.43,23.91,24.92,23.57
2017,23.66,24.19,25.17,23.80
2018,23.46,23.99,24.98,23.60
2019,23.82,24.34,25.33,23.96
2020,23.76,24.29,25.26,23.90
2021,23.51,24.05,25.04,23.65
