Cuba,Camaguey,"Ciego De Avila",Cienfuegos,"Ciudad De La Habana",Granma,Guantanamo,Holguin,"Isla De La Juventud","La Habana","Las Tunas",Matanzas,"Pinar Del Rio","Sancti Spiritus","Santiago De Cuba","Villa Clara"
1901,24.06,24.64,24.07,23.48,23.53,24.40,24.13,24.71,24.41,23.35,24.93,23.38,23.74,23.76,24.28,23.45
1902,24.78,25.36,24.84,24.30,24.38,24.99,24.34,25.23,25.32,24.23,25.62,24.22,24.79,24.54,24.68,24.26
1903,24.57,25.15,24.61,24.04,24.11,24.84,24.27,25.09,25.06,23.97,25.42,23.96,24.56,24.32,24.56,24.01
1904,24.52,25.12,24.58,24.02,24.08,24.80,24.13,25.02,25.03,23.94,25.39,23.93,24.42,24.30,24.49,23.99
1905,25.05,25.66,25.15,24.60,24.67,25.28,24.55,25.52,25.59,24.53,25.92,24.53,24.92,24.86,24.94,24.57
1906,24.54,25.14,24.61,24.04,24.08,24.81,24.18,25.05,25.04,23.96,25.40,23.95,24.46,24.32,24.51,24.01
1907,24.94,25.55,25.04,24.52,24.54,25.16,24.32,25.34,25.50,24.43,25.80,24.42,24.90,24.77,24.73,24.48
1908,24.88,25.50,24.99,24.44,24.48,25.09,24.30,25.30,25.41,24.37,25.74,24.35,24.81,24.70,24.71,24.40
1909,24.78,25.39,24.87,24.33,24.39,25.00,24.21,25.21,25.32,24.28,25.64,24.24,24.79,24.59,24.63,24.30
1910,23.88,24.46,23.90,23.31,23.31,24.24,23.78,24.49,24.28,23.19,24.77,23.20,23.71,23.59,24.00,23.27
1911,25.16,25.77,25.25,24.73,24.85,25.34,24.45,25.52,25.74,24.71,26.01,24.65,25.25,24.97,24.92,24.69
1912,25.29,25.90,25.40,24.87,24.91,25.49,24.65,25.70,25.84,24.79,26.14,24.79,25.23,25.11,25.09,24.83
1913,24.97,25.55,25.02,24.56,24.63,25.20,24.37,25.41,25.60,24.52,25.80,24.49,24.97,24.73,24.82,24.47
1914,24.61,25.19,24.65,24.15,24.22,24.88,24.24,25.11,25.13,24.06,25.47,24.06,24.52,24.36,24.58,24.08
1915,24.60,25.17,24.63,24.06,24.15,24.89,24.38,25.15,25.07,23.98,25.45,23.98,24.49,24.33,24.63,24.03
1916,24.68,25.26,24.74,24.18,24.35,24.92,24.27,25.15,25.19,24.15,25.53,24.12,24.64,24.43,24.61,24.15
1917,24.45,25.04,24.52,23.96,24.04,24.73,24.05,24.94,24.94,23.89,25.31,23.87,24.35,24.22,24.40,23.91
1918,24.84,25.44,24.92,24.34,24.50,25.09,24.31,25.31,25.35,24.31,25.70,24.27,24.86,24.62,24.74,24.32
1919,25.00,25.58,25.07,24.57,24.71,25.20,24.44,25.42,25.56,24.52,25.83,24.49,25.02,24.78,24.84,24.51
1920,24.77,25.36,24.83,24.28,24.37,25.05,24.37,25.29,25.27,24.20,25.66,24.19,24.67,24.53,24.73,24.23
1921,25.17,25.76,25.25,24.75,24.97,25.35,24.42,25.55,25.77,24.75,26.00,24.67,25.23,24.97,24.94,24.70
