Egypt,Alexandria,Assiut,Aswan,Behera,"Beni Suef",Cairo,Dakahlia,Damietta,Fayoum,Gharbia,Giza,Ismailia,"Kafr El-Shikh",Kalyoubia,Luxor,Matrouh,Menia,Menoufia,"New Valley","North Sinai","Port Said",Qena,"Red Sea",Shrkia,"South Sinai",Suez,Suhag
1901,22.14,19.93,20.82,25.70,20.15,20.80,20.80,20.26,20.24,21.15,20.25,20.69,20.97,20.03,21.13,23.76,20.35,20.79,20.54,22.77,19.62,20.83,23.13,23.47,20.91,19.59,20.20,22.07
1902,21.76,19.45,20.32,25.29,19.65,20.28,20.26,19.79,19.77,20.63,19.76,20.21,20.47,19.55,20.62,23.31,19.96,20.28,20.03,22.45,19.15,20.32,22.67,23.08,20.42,19.11,19.68,21.60
1903,21.12,18.56,19.35,24.78,18.72,19.29,19.26,18.80,18.76,19.64,18.78,19.29,19.44,18.60,19.62,22.47,19.30,19.32,19.05,21.98,18.09,19.33,21.81,22.44,19.40,18.08,18.66,20.66
1904,21.32,19.04,19.94,24.77,19.23,19.89,19.88,19.38,19.37,20.22,19.34,19.79,20.07,19.12,20.21,22.89,19.55,19.89,19.61,22.01,18.72,19.95,22.24,22.58,20.01,18.70,19.32,21.21
1905,21.72,19.40,20.44,25.11,19.61,20.37,20.29,19.70,19.68,20.68,19.69,20.26,20.41,19.46,20.59,23.38,19.93,20.38,19.98,22.40,19.05,20.26,22.75,22.96,20.36,19.12,19.73,21.71
1906,22.19,19.69,20.99,25.72,19.93,20.89,20.68,20.01,19.99,21.15,20.01,20.71,20.75,19.74,20.93,23.97,20.19,20.90,20.33,22.92,19.41,20.56,23.33,23.56,20.68,19.58,20.15,22.27
1907,21.57,19.04,20.29,25.06,19.28,20.18,20.00,19.34,19.31,20.47,19.34,20.04,20.07,19.09,20.27,23.25,19.63,20.21,19.67,22.33,18.71,19.88,22.60,22.87,20.00,18.87,19.45,21.56
1908,21.80,19.23,20.57,25.30,19.47,20.45,20.19,19.47,19.44,20.73,19.48,20.30,20.22,19.24,20.44,23.55,19.83,20.49,19.84,22.57,18.89,20.03,22.90,23.14,20.15,19.10,19.64,21.85
1909,22.76,20.36,21.65,26.25,20.62,21.57,21.34,20.66,20.63,21.85,20.66,21.39,21.42,20.40,21.62,24.62,20.79,21.58,21.02,23.43,20.10,21.25,23.98,24.14,21.33,20.25,20.80,22.93
1910,21.74,19.28,20.49,25.18,19.49,20.40,20.22,19.55,19.51,20.67,19.57,20.25,20.27,19.32,20.50,23.46,19.85,20.42,19.88,22.49,18.92,20.08,22.81,23.03,20.22,19.08,19.66,21.77
