Fiji,Central,Eastern,Northern,Western
1901,24.34,24.01,24.67,25.26,23.96
1902,24.34,24.01,24.67,25.26,23.96
1903,24.33,24.01,24.66,25.24,23.96
1904,24.33,24.02,24.66,25.22,23.96
1905,24.33,24.01,24.66,25.21,23.96
1906,24.34,24.01,24.67,25.26,23.96
1907,24.33,24.01,24.66,25.22,23.96
1908,24.33,24.02,24.67,25.22,23.96
1909,24.32,24.01,24.65,25.19,23.96
1910,24.32,24.01,24.66,25.20,23.96
1911,24.34,24.01,24.67,25.27,23.96
1912,24.36,24.02,24.69,25.30,23.96
1913,24.35,24.01,24.68,25.28,23.96
1914,24.36,24.01,24.68,25.30,23.96
1915,24.34,24.01,24.67,25.25,23.96
1916,24.33,24.02,24.67,25.23,23.96
1917,24.32,24.01,24.65,25.21,23.96
1918,24.33,24.01,24.66,25.23,23.96
1919,24.36,24.01,24.68,25.30,23.96
1920,24.36,24.02,24.69,25.31,23.96
1921,24.35,24.01,24.68,25.27,23.96
1922,24.35,24.01,24.69,25.28,23.96
1923,24.34,24.01,24.67,25.25,23.96
1924,24.35,24.02,24.69,25.27,23.96
1925,24.34,24.01,24.68,25.26,23.96
1926,24.36,24.01,24.68,25.29,23.96
1927,24.36,24.01,24.69,25.30,23.96
1928,24.36,24.02,24.69,25.28,23.96
1929,24.35,24.01,24.67,25.28,23.96
1930,24.36,24.01,24.68,25.29,23.96
1931,24.35,24.01,24.67,25.27,23.96
1932,24.37,24.02,24.70,25.30,23.97
1933,24.19,23.84,24.55,25.15,23.79
1934,24.26,23.91,24.60,25.22,23.86
1935,24.35,24.01,24.68,25.28,23.95
1936,24.50,24.14,24.79,25.44,24.11
1937,24.14,23.77,24.49,25.12,23.73
1938,24.18,23.82,24.55,25.15,23.77
1939,24.14,23.81,24.52,25.06,23.75
1940,24.41,24.06,24.72,25.37,24.01
1941,24.40,24.03,24.71,25.39,23.98
1942,24.29,23.93,24.64,25.26,23.88
1943,24.47,24.12,24.78,25.40,24.08
1944,24.31,23.98,24.64,25.23,23.91
1945,24.25,23.91,24.58,25.19,23.85
1946,24.59,24.26,24.92,25.52,24.20
1947,24.71,24.38,25.03,25.63,24.32
1948,24.35,24.01,24.68,25.27,23.96
1949,24.53,24.21,24.87,25.44,24.14
1950,24.41,24.08,24.75,25.33,24.02
1951,24.27,23.91,24.57,25.23,23.86
