"French Polynesia","Administrative unit not available"
1901,21.53,23.92
1902,21.73,24.03
1903,22.57,24.53
1904,20.86,23.53
1905,21.49,23.90
1906,21.50,23.90
1907,21.47,23.88
1908,21.45,23.87
1909,21.44,23.86
1910,21.44,23.86
1911,21.44,23.86
1912,21.45,23.87
1913,21.44,23.86
1914,21.44,23.86
1915,21.44,23.86
1916,21.45,23.87
1917,21.44,23.86
1918,21.44,23.85
1919,21.44,23.86
1920,21.45,23.87
1921,21.44,23.87
1922,21.44,23.87
1923,21.44,23.86
1924,21.45,23.87
1925,21.44,23.86
1926,21.44,23.86
1927,21.44,23.87
1928,21.45,23.87
1929,21.44,23.86
1930,21.44,23.86
1931,21.44,23.86
1932,21.45,23.86
1933,21.44,23.86
1934,21.44,23.86
1935,21.62,23.97
1936,21.38,23.83
1937,21.96,24.16
1938,21.91,24.13
1939,21.91,24.14
1940,22.50,24.48
1941,22.28,24.34
1942,22.21,24.32
1943,22.02,24.20
1944,21.79,24.06
1945,22.30,24.35
1946,22.01,24.19
1947,22.42,24.43
1948,21.56,23.92
1949,21.30,23.79
1950,20.86,23.54
1951,21.41,23.84
1952,21.65,24.00
1953,21.37,23.84
1954,21.34,23.80
1955,20.98,23.55
1956,20.87,23.49
1957,21.30,23.76
1958,21.51,23.87
1959,21.68,23.96
1960,21.37,23.74
1961,21.19,23.45
1962,21.08,23.48
1963,21.19,23.63
1964,21.01,23.35
1965,21.16,23.66
1966,21.30,23.80
1967,21.13,23.47
1968,20.94,23.37
1969,21.65,24.11
1970,21.61,23.90
1971,21.01,23.32
1972,21.41,23.91
1973,21.73,24.06
1974,21.03,23.33
1975,21.11,23.44
1976,21.14,23.60
1977,21.47,24.05
1978,21.47,23.86
1979,21.37,23.93
1980,21.76,24.10
1981,21.61,24.01
1982,21.53,24.14
1983,21.60,24.17
1984,21.68,24.12
1985,21.67,24.07
1986,21.80,24.22
1987,21.77,24.29
1988,21.80,24.12
1989,21.49,23.75
1990,21.69,24.06
1991,21.84,24.21
1992,21.87,24.15
1993,21.77,24.13
1994,21.94,24.26
1995,21.96,24.29
1996,21.73,24.01
1997,21.60,24.05
1998,21.95,24.26
1999,21.96,24.09
2000,21.89,24.03
2001,21.78,24.12
2002,22.13,24.44
2003,21.97,24.37
2004,21.88,24.22
2005,22.02,24.31
2006,22.13,24.37
2007,21.98,24.27
2008,21.78,24.02
2009,22.17,24.44
2010,22.11,24.36
2011,21.77,23.91
2012,21.96,24.28
2013,21.67,24.08
2014,21.86,24.19
2015,21.93,24.31
2016,22.28,24.65
2017,22.21,24.46
2018,21.94,24.20
2019,22.13,24.48
2020,22.21,24.50
2021,22.19,24.40
