Guam,"Administrative unit not available"
1901,27.47,27.47
1902,27.47,27.47
1903,27.47,27.47
1904,27.46,27.46
1905,27.47,27.47
1906,27.47,27.47
1907,27.47,27.47
1908,27.46,27.46
1909,27.47,27.47
1910,27.47,27.47
1911,27.47,27.47
1912,27.46,27.46
1913,27.47,27.47
1914,27.47,27.47
1915,27.47,27.47
1916,27.46,27.46
1917,27.47,27.47
1918,27.47,27.47
1919,27.47,27.47
1920,27.46,27.46
1921,27.20,27.20
1922,27.12,27.12
1923,27.08,27.08
1924,27.13,27.13
1925,27.28,27.28
1926,27.65,27.64
1927,27.64,27.64
1928,27.58,27.58
1929,27.18,27.18
1930,27.50,27.50
1931,27.54,27.54
1932,27.48,27.48
1933,27.42,27.42
1934,27.45,27.45
1935,27.44,27.43
1936,27.61,27.61
1937,27.58,27.58
1938,27.61,27.61
1939,27.60,27.60
1940,27.54,27.53
1941,27.40,27.40
1942,27.37,27.37
1943,27.35,27.35
1944,27.46,27.46
1945,26.92,26.92
1946,27.55,27.55
1947,27.41,27.41
1948,27.04,27.04
1949,27.09,27.09
1950,26.96,26.96
1951,27.30,27.29
1952,27.13,27.13
1953,27.21,27.21
1954,27.25,27.24
1955,27.07,27.06
1956,27.02,27.02
1957,27.41,27.41
1958,27.36,27.36
1959,27.40,27.40
1960,27.43,27.43
1961,27.23,27.23
1962,27.41,27.41
1963,27.26,27.26
1964,27.38,27.38
1965,27.13,27.13
1966,27.52,27.52
1967,27.02,27.02
1968,27.17,27.16
1969,27.61,27.61
1970,27.70,27.69
1971,27.61,27.60
1972,27.22,27.22
1973,27.38,27.38
1974,27.38,27.38
1975,27.12,27.12
1976,27.19,27.19
1977,27.49,27.48
1978,27.42,27.42
1979,27.46,27.46
1980,27.53,27.52
1981,27.71,27.70
1982,27.36,27.36
1983,27.59,27.58
1984,27.79,27.79
1985,27.63,27.63
1986,27.63,27.62
1987,27.76,27.75
1988,27.95,27.95
1989,27.67,27.66
1990,27.62,27.61
1991,27.61,27.61
1992,27.60,27.60
1993,27.59,27.59
1994,27.58,27.58
1995,27.44,27.43
1996,27.47,27.46
1997,27.43,27.43
1998,27.48,27.48
1999,27.51,27.51
2000,27.67,27.67
2001,27.72,27.71
2002,27.67,27.67
2003,27.66,27.66
2004,27.70,27.70
2005,27.69,27.69
2006,27.68,27.68
2007,27.83,27.83
2008,27.83,27.83
2009,27.80,27.80
2010,27.86,27.86
2011,27.86,27.86
2012,27.98,27.98
2013,28.32,28.32
2014,28.11,28.11
2015,27.89,27.89
2016,28.46,28.46
2017,28.22,28.21
2018,28.47,28.47
2019,28.06,28.05
2020,28.02,28.01
2021,27.88,27.88
