Honduras,Atlantida,Choluteca,Colon,Comayagua,Copan,Cortes,"Francisco Morazan","Gracias A Dios",Intibuca,"Islas De Bahia","La Paz",Lempira,"Name Unknown",Ocotepeque,Olancho,Paraiso,"Santa Barbara",Valle,Yoro
1901,24.04,24.62,26.18,25.38,22.46,22.33,24.76,22.68,26.39,21.62,26.80,22.60,21.57,21.57,22.06,23.85,22.97,23.25,26.07,23.43
1902,24.15,24.76,26.22,25.57,22.55,22.40,24.86,22.76,26.57,21.70,27.09,22.68,21.64,21.64,22.13,23.96,23.03,23.34,26.13,23.55
1903,24.14,24.75,26.23,25.55,22.53,22.41,24.86,22.74,26.55,21.70,27.05,22.66,21.65,21.65,22.14,23.94,23.02,23.35,26.13,23.54
1904,24.06,24.64,26.18,25.44,22.47,22.33,24.77,22.69,26.45,21.62,26.91,22.60,21.57,21.57,22.06,23.87,22.98,23.26,26.07,23.44
1905,24.11,24.72,26.18,25.56,22.48,22.33,24.79,22.69,26.57,21.62,27.07,22.60,21.57,21.57,22.06,23.93,22.98,23.26,26.07,23.50
1906,23.91,24.43,26.09,25.30,22.27,22.08,24.52,22.52,26.41,21.45,26.78,22.43,21.37,21.37,21.86,23.74,22.84,23.01,25.95,23.24
1907,23.99,24.54,26.12,25.42,22.35,22.19,24.62,22.59,26.48,21.52,26.91,22.50,21.45,21.45,21.94,23.80,22.90,23.11,26.00,23.33
1908,23.97,24.51,26.12,25.39,22.35,22.17,24.61,22.59,26.45,21.51,26.88,22.50,21.44,21.44,21.92,23.79,22.89,23.09,26.00,23.31
1909,24.07,24.65,26.17,25.49,22.47,22.31,24.76,22.68,26.49,21.64,26.97,22.61,21.58,21.58,22.05,23.88,22.97,23.24,26.07,23.44
1910,23.49,23.83,25.82,24.85,21.80,21.54,23.92,22.13,26.12,20.99,26.23,22.03,20.89,20.89,21.36,23.35,22.52,22.46,25.64,22.70
1911,23.96,24.51,26.09,25.41,22.30,22.11,24.57,22.55,26.49,21.46,26.91,22.45,21.39,21.39,21.88,23.79,22.87,23.04,25.96,23.30
1912,24.07,24.67,26.14,25.56,22.42,22.25,24.73,22.64,26.59,21.56,27.11,22.55,21.50,21.50,21.98,23.91,22.93,23.18,26.02,23.45
1913,23.82,24.31,25.99,25.28,22.13,21.90,24.37,22.41,26.41,21.30,26.78,22.31,21.21,21.21,21.69,23.67,22.75,22.84,25.84,23.12
1914,23.83,24.33,26.01,25.28,22.15,21.92,24.39,22.42,26.41,21.31,26.76,22.30,21.21,21.21,21.70,23.68,22.76,22.86,25.84,23.13
1915,23.94,24.48,26.08,25.39,22.28,22.09,24.55,22.54,26.48,21.44,26.90,22.43,21.37,21.37,21.86,23.78,22.85,23.02,25.95,23.28
1916,23.88,24.39,26.03,25.33,22.20,21.99,24.45,22.46,26.44,21.36,26.83,22.36,21.27,21.27,21.75,23.72,22.79,22.92,25.88,23.19
1917,24.07,24.64,26.18,25.47,22.46,22.33,24.76,22.69,26.48,21.62,26.95,22.60,21.57,21.57,22.06,23.87,22.97,23.25,26.07,23.45
1918,24.14,24.76,26.20,25.60,22.50,22.36,24.83,22.71,26.61,21.65,27.13,22.63,21.59,21.59,22.08,23.95,23.00,23.29,26.09,23.53
1919,24.02,24.59,26.12,25.48,22.37,22.18,24.65,22.61,26.54,21.51,27.00,22.50,21.45,21.45,21.92,23.84,22.90,23.12,26.00,23.36
1920,24.02,24.60,26.14,25.47,22.37,22.20,24.67,22.61,26.52,21.53,26.97,22.52,21.47,21.47,21.96,23.85,22.93,23.13,26.01,23.38
1921,23.96,24.50,26.07,25.43,22.30,22.10,24.55,22.54,26.50,21.43,26.95,22.43,21.37,21.37,21.85,23.79,22.85,23.03,25.93,23.29
