Jamaica,Clarendon,Hanover,Manchester,Portland,"Saint Andrew And Kingston","Saint Ann","Saint Catherine","Saint Elizabeth","Saint James","Saint Mary","Saint Thomas",Trelawny,Westmoreland
1901,24.54,24.76,27.10,25.13,24.00,24.07,23.35,24.32,25.27,25.07,23.47,25.99,24.82,26.67
1902,24.82,25.00,27.49,25.43,24.20,24.29,23.63,24.55,25.61,25.45,23.72,26.13,25.17,27.05
1903,24.75,24.94,27.41,25.35,24.15,24.25,23.56,24.50,25.52,25.34,23.66,26.09,25.08,26.97
1904,24.70,24.89,27.37,25.31,24.08,24.17,23.50,24.44,25.48,25.31,23.59,26.02,25.04,26.93
1905,24.98,25.15,27.69,25.58,24.34,24.42,23.79,24.69,25.77,25.62,23.86,26.24,25.34,27.25
1906,24.71,24.90,27.37,25.32,24.09,24.18,23.52,24.45,25.49,25.32,23.60,26.03,25.05,26.93
1907,24.88,25.05,27.62,25.50,24.21,24.31,23.69,24.59,25.69,25.53,23.73,26.13,25.25,27.17
1908,24.83,25.01,27.55,25.45,24.17,24.26,23.64,24.55,25.64,25.48,23.68,26.10,25.20,27.11
1909,24.77,24.95,27.48,25.38,24.12,24.22,23.58,24.49,25.56,25.39,23.65,26.04,25.12,27.03
1910,24.38,24.60,26.97,24.99,23.80,23.89,23.19,24.15,25.14,24.94,23.29,25.78,24.68,26.54
1911,24.98,25.13,27.73,25.60,24.29,24.40,23.79,24.68,25.81,25.66,23.83,26.19,25.38,27.29
1912,25.10,25.26,27.87,25.71,24.43,24.52,23.91,24.80,25.92,25.76,23.96,26.31,25.48,27.42
1913,24.92,25.09,27.65,25.54,24.25,24.35,23.73,24.63,25.74,25.58,23.78,26.15,25.30,27.21
1914,24.76,24.95,27.44,25.37,24.13,24.23,23.57,24.50,25.55,25.38,23.65,26.08,25.11,27.00
1915,24.79,24.97,27.46,25.39,24.19,24.28,23.60,24.53,25.57,25.40,23.70,26.14,25.13,27.02
1916,24.77,24.96,27.46,25.39,24.13,24.22,23.59,24.50,25.56,25.40,23.64,26.08,25.13,27.02
1917,24.65,24.84,27.33,25.27,24.01,24.12,23.45,24.39,25.44,25.27,23.53,25.97,24.99,26.89
1918,24.87,25.05,27.59,25.49,24.22,24.32,23.69,24.60,25.68,25.51,23.75,26.13,25.23,27.15
1919,24.92,25.08,27.65,25.53,24.27,24.36,23.72,24.63,25.73,25.56,23.79,26.18,25.28,27.20
1920,24.83,25.00,27.53,25.44,24.20,24.30,23.63,24.56,25.63,25.47,23.72,26.12,25.19,27.09
