Madagascar,"Alaotra Mangoro","Amoron I Mania",Analamanga,Analanjirofo,Androy,Anosy,"Atsimo Andrefana","Atsimo Atsinanana",Atsinanana,Betsiboka,Boeny,Bongolava,Diana,"Haute Matsiatra",Ihorombe,Itasy,Melaky,Menabe,Sava,Sofia,Vakinankaratra,"Vatovavy Fitovinany"
1901,22.63,20.88,19.49,19.66,22.53,22.44,20.95,22.98,21.89,22.37,23.33,26.33,21.46,24.10,20.04,20.53,19.14,25.36,24.33,23.35,23.70,18.76,22.36
1902,23.05,21.34,19.96,20.13,22.98,22.72,21.30,23.33,22.29,22.83,23.80,26.79,21.93,24.42,20.49,20.96,19.61,25.81,24.78,23.71,24.13,19.22,22.82
1903,22.74,21.00,19.61,19.78,22.64,22.52,21.05,23.07,21.99,22.49,23.45,26.45,21.58,24.19,20.16,20.64,19.27,25.48,24.45,23.45,23.81,18.88,22.48
1904,22.69,20.94,19.56,19.73,22.59,22.49,21.00,23.03,21.95,22.44,23.40,26.40,21.53,24.15,20.10,20.60,19.21,25.42,24.40,23.40,23.76,18.83,22.43
1905,23.02,21.30,19.92,20.09,22.93,22.71,21.27,23.31,22.25,22.79,23.76,26.75,21.89,24.40,20.45,20.92,19.57,25.77,24.75,23.69,24.10,19.18,22.78
1906,22.81,21.08,19.69,19.86,22.72,22.57,21.10,23.13,22.06,22.57,23.53,26.54,21.66,24.24,20.24,20.72,19.35,25.56,24.53,23.51,23.89,18.96,22.56
1907,22.71,20.97,19.58,19.75,22.61,22.50,21.01,23.04,21.96,22.46,23.42,26.42,21.55,24.15,20.12,20.62,19.24,25.44,24.42,23.42,23.78,18.85,22.45
1908,23.07,21.36,19.97,20.15,22.98,22.74,21.32,23.35,22.30,22.85,23.81,26.80,21.94,24.44,20.51,20.97,19.63,25.82,24.80,23.73,24.14,19.24,22.83
1909,22.77,21.03,19.64,19.82,22.68,22.54,21.07,23.09,22.02,22.52,23.48,26.48,21.61,24.20,20.18,20.68,19.30,25.50,24.48,23.47,23.84,18.91,22.51
1910,22.56,20.80,19.42,19.59,22.45,22.40,20.89,22.92,21.82,22.29,23.26,26.26,21.39,24.05,19.96,20.46,19.07,25.28,24.26,23.29,23.63,18.68,22.29
1911,22.60,20.84,19.46,19.63,22.49,22.43,20.93,22.95,21.86,22.33,23.30,26.30,21.43,24.08,20.00,20.50,19.11,25.32,24.30,23.32,23.67,18.72,22.33
1912,23.28,21.59,20.21,20.38,23.22,22.88,21.49,23.52,22.49,23.08,24.04,27.03,22.18,24.60,20.74,21.18,19.86,26.05,25.03,23.91,24.36,19.47,23.07
1913,22.84,21.11,19.72,19.90,22.75,22.59,21.13,23.16,22.09,22.60,23.56,26.56,21.69,24.27,20.26,20.74,19.38,25.58,24.56,23.54,23.91,18.99,22.59
1914,22.99,21.27,19.89,20.06,22.91,22.68,21.25,23.28,22.23,22.77,23.73,26.73,21.86,24.39,20.43,20.89,19.54,25.75,24.72,23.66,24.07,19.16,22.75
1915,23.01,21.29,19.91,20.08,22.93,22.69,21.26,23.30,22.24,22.79,23.75,26.75,21.88,24.40,20.45,20.91,19.56,25.77,24.74,23.68,24.09,19.18,22.77
1916,22.47,20.70,19.31,19.49,22.36,22.35,20.82,22.85,21.74,22.19,23.15,26.16,21.28,23.97,19.86,20.38,18.97,25.19,24.16,23.21,23.53,18.58,22.19
