Mexico,Aguascalientes,"Baja California","Baja California Sur",Campeche,Chiapas,Chihuahua,Coahuila,Colima,"Distrito Federal",Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,"Nuevo Leon",Oaxaca,Puebla,Queretaro,"Quintana Roo","San Luis Potosi",Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
1901,20.26,17.07,17.73,20.83,25.76,23.29,16.55,19.72,23.79,12.95,16.70,17.64,23.84,17.27,19.55,15.94,21.11,21.70,21.46,20.83,21.57,18.77,18.17,25.15,19.15,23.02,20.89,26.48,22.91,14.53,23.97,25.47,16.61
1902,20.58,17.75,17.29,20.76,25.98,23.39,16.66,20.46,24.12,13.29,17.25,18.22,23.97,17.84,20.08,16.30,21.50,21.94,22.06,21.72,21.65,19.04,18.77,25.68,19.90,23.31,20.63,26.63,23.82,14.90,24.35,25.98,17.33
1903,19.76,16.44,17.39,20.63,25.93,23.39,15.81,18.53,23.75,12.67,16.05,17.12,23.74,16.80,19.24,15.64,20.88,21.49,21.04,19.62,21.52,18.50,17.62,25.62,18.41,22.61,20.24,26.57,21.82,14.23,23.66,25.81,15.92
1904,20.22,17.09,17.88,20.81,25.81,23.28,16.31,19.63,23.73,12.92,16.63,17.65,23.79,17.34,19.52,15.91,21.06,21.65,21.42,20.89,21.53,18.73,18.22,25.45,19.23,22.93,20.76,26.47,23.05,14.53,23.97,25.77,16.63
1905,20.03,17.11,17.03,20.65,25.90,23.29,15.85,19.09,24.33,12.91,16.56,17.66,23.91,17.19,19.88,15.93,21.36,21.65,21.72,20.35,21.51,18.64,18.13,25.71,19.02,22.95,20.28,26.46,22.55,14.43,23.82,25.98,16.57
1906,20.07,17.08,17.04,20.69,25.51,23.00,16.17,19.35,24.08,12.85,16.61,17.61,23.84,17.20,19.72,15.86,21.21,21.58,21.59,20.58,21.39,18.61,18.12,25.28,19.10,23.03,20.60,26.14,22.81,14.40,23.76,25.60,16.59
1907,20.54,17.68,16.95,20.79,25.69,23.10,16.74,20.41,24.34,13.18,17.29,18.16,23.97,17.71,20.13,16.21,21.51,21.84,22.10,21.60,21.49,18.88,18.72,25.54,19.83,23.43,20.84,26.27,23.75,14.73,24.10,25.91,17.28
1908,20.36,17.60,16.96,20.68,25.65,23.09,16.27,20.08,24.32,13.16,17.06,18.11,23.97,17.67,20.10,16.19,21.51,21.84,22.03,21.35,21.49,18.87,18.64,25.46,19.71,23.21,20.55,26.27,23.52,14.72,24.07,25.81,17.17
1909,20.42,17.42,17.26,20.51,25.83,23.28,16.55,20.47,23.55,13.04,16.96,17.93,23.78,17.60,19.59,16.02,21.08,21.70,21.59,21.68,21.54,18.83,18.52,25.56,19.67,22.96,20.72,26.46,23.75,14.67,24.13,25.91,17.02
1910,20.33,16.96,18.22,21.20,24.69,22.34,17.30,20.19,23.35,12.65,16.82,17.49,23.61,17.10,19.24,15.66,20.79,21.37,21.21,21.13,21.10,18.43,18.06,24.49,19.16,23.33,21.77,25.37,23.10,14.23,23.48,24.88,16.56
