"New Caledonia","Administrative unit not available"
1901,22.70,22.75
1902,21.97,22.02
1903,22.72,22.77
1904,21.71,21.76
1905,21.94,21.99
1906,22.33,22.39
1907,22.82,22.87
1908,22.32,22.37
1909,22.97,23.02
1910,23.68,23.74
1911,22.24,22.29
1912,22.25,22.30
1913,22.24,22.29
1914,22.24,22.29
1915,22.55,22.60
1916,22.55,22.61
1917,22.37,22.42
1918,22.24,22.29
1919,22.22,22.27
1920,22.32,22.38
1921,22.34,22.40
1922,22.33,22.38
1923,22.24,22.29
1924,22.25,22.30
1925,22.24,22.29
1926,22.24,22.29
1927,22.33,22.38
1928,22.25,22.30
1929,22.40,22.46
1930,22.24,22.29
1931,22.40,22.45
1932,22.36,22.42
1933,22.43,22.48
1934,22.26,22.31
1935,22.32,22.37
1936,22.24,22.30
1937,22.23,22.28
1938,22.40,22.46
1939,22.20,22.25
1940,21.95,22.00
1941,22.52,22.57
1942,23.10,23.15
1943,22.54,22.59
1944,22.40,22.45
1945,22.04,22.09
1946,22.80,22.85
1947,22.68,22.73
1948,22.74,22.79
1949,22.64,22.69
1950,22.77,22.82
1951,21.99,22.05
1952,22.34,22.39
1953,22.04,22.08
1954,21.95,22.00
1955,22.12,22.17
1956,22.19,22.24
1957,21.81,21.87
1958,22.23,22.28
1959,22.00,22.05
1960,21.96,22.02
1961,22.22,22.28
1962,22.32,22.37
1963,22.05,22.11
1964,22.46,22.51
1965,21.49,21.55
1966,21.55,21.60
1967,22.26,22.31
1968,21.76,21.81
1969,22.07,22.11
1970,22.55,22.60
1971,22.18,22.23
1972,21.92,21.97
1973,22.88,22.93
1974,22.26,22.31
1975,22.43,22.48
1976,22.28,22.33
1977,22.03,22.08
1978,22.16,22.22
1979,22.13,22.19
1980,22.30,22.35
1981,22.36,22.42
1982,21.96,22.01
1983,22.41,22.46
1984,22.42,22.48
1985,22.34,22.39
1986,22.24,22.30
1987,22.24,22.29
1988,23.02,23.07
1989,22.51,22.56
1990,22.67,22.72
1991,22.23,22.28
1992,22.21,22.26
1993,22.09,22.14
1994,22.00,22.05
1995,22.87,22.92
1996,22.83,22.88
1997,22.27,22.32
1998,23.33,23.38
1999,22.83,22.88
2000,22.53,22.58
2001,22.73,22.78
2002,22.66,22.71
2003,22.52,22.57
2004,22.65,22.70
2005,22.62,22.67
2006,22.36,22.41
2007,22.86,22.90
2008,22.73,22.78
2009,22.64,22.69
2010,23.00,23.05
2011,22.69,22.74
2012,22.42,22.47
2013,22.40,22.45
2014,22.42,22.47
2015,22.53,22.58
2016,23.22,23.27
2017,23.09,23.14
2018,22.70,22.75
2019,22.62,22.67
2020,23.12,23.18
2021,23.04,23.09
