"Northern Mariana Islands","Administrative unit not available"
1901,27.31,27.31
1902,27.31,27.31
1903,27.31,27.31
1904,27.31,27.31
1905,27.31,27.31
1906,27.31,27.31
1907,27.31,27.31
1908,27.31,27.31
1909,27.31,27.31
1910,27.31,27.31
1911,27.31,27.31
1912,27.31,27.31
1913,27.31,27.31
1914,27.31,27.31
1915,27.31,27.31
1916,27.31,27.31
1917,27.31,27.31
1918,27.31,27.31
1919,27.31,27.31
1920,27.31,27.31
1921,27.06,27.06
1922,26.95,26.95
1923,26.96,26.96
1924,26.98,26.98
1925,27.15,27.15
1926,27.54,27.54
1927,27.57,27.57
1928,27.51,27.51
1929,27.10,27.10
1930,27.26,27.26
1931,27.46,27.46
1932,27.42,27.42
1933,27.34,27.34
1934,27.34,27.34
1935,27.31,27.31
1936,27.55,27.55
1937,27.52,27.52
1938,27.56,27.56
1939,27.53,27.53
1940,27.46,27.46
1941,27.31,27.31
1942,27.31,27.31
1943,27.31,27.31
1944,27.31,27.31
1945,26.79,26.79
1946,27.40,27.40
1947,27.27,27.27
1948,26.84,26.84
1949,26.72,26.72
1950,26.54,26.54
1951,27.02,27.02
1952,26.81,26.81
1953,26.91,26.91
1954,26.96,26.96
1955,26.79,26.79
1956,26.74,26.74
1957,27.15,27.15
1958,27.13,27.13
1959,27.17,27.17
1960,27.21,27.21
1961,27.04,27.04
1962,27.26,27.26
1963,27.06,27.06
1964,27.19,27.19
1965,26.96,26.96
1966,27.37,27.37
1967,26.80,26.80
1968,26.97,26.97
1969,27.52,27.52
1970,27.52,27.52
1971,27.55,27.55
1972,27.01,27.01
1973,27.20,27.20
1974,27.27,27.27
1975,26.95,26.95
1976,27.10,27.10
1977,27.36,27.36
1978,27.25,27.25
1979,27.32,27.32
1980,27.39,27.39
1981,27.57,27.57
1982,27.20,27.20
1983,27.43,27.43
1984,27.65,27.65
1985,27.48,27.48
1986,27.46,27.46
1987,27.59,27.59
1988,27.84,27.84
1989,27.57,27.57
1990,27.57,27.57
1991,27.60,27.60
1992,27.51,27.51
1993,27.58,27.58
1994,27.51,27.51
1995,27.28,27.28
1996,27.32,27.32
1997,27.31,27.31
1998,27.31,27.31
1999,27.33,27.33
2000,27.34,27.34
2001,27.37,27.37
2002,27.34,27.34
2003,27.33,27.33
2004,27.36,27.36
2005,27.36,27.36
2006,27.36,27.36
2007,27.61,27.61
2008,27.63,27.63
2009,27.65,27.65
2010,27.72,27.72
2011,27.63,27.63
2012,27.68,27.68
2013,28.09,28.09
2014,27.91,27.91
2015,27.64,27.64
2016,28.28,28.28
2017,28.04,28.04
2018,28.32,28.32
2019,27.77,27.77
2020,27.84,27.84
2021,27.65,27.65
