Panama,Coclé,Colón,"Kuna Yala",Herrera,"Los Santos",Panamá,"Bocas del Toro",Chiriquí,Darién,Emberá,"Ngöbe Buglé",Veraguas
1901,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1902,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1903,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1904,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.51,25.36
1905,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1906,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1907,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1908,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.51,25.36
1909,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1910,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1911,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1912,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.51,25.36
1913,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1914,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1915,25.31,25.73,25.99,26.32,25.88,26.15,26.16,22.17,23.79,26.14,26.18,23.52,25.39
1916,25.21,25.68,25.92,26.09,25.83,26.10,26.01,22.17,23.79,25.87,25.90,23.51,25.37
1917,25.10,25.62,25.83,25.86,25.80,26.04,25.84,22.17,23.79,25.61,25.63,23.52,25.36
1918,25.08,25.61,25.82,25.82,25.79,26.03,25.81,22.17,23.79,25.56,25.58,23.52,25.35
1919,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.52,25.36
1920,25.15,25.64,25.87,25.97,25.81,26.06,25.91,22.17,23.79,25.73,25.76,23.51,25.36
1921,25.05,25.60,25.79,25.74,25.79,26.02,25.76,22.17,23.79,25.46,25.48,23.52,25.35
1922,25.03,25.59,25.79,25.70,25.79,26.01,25.73,22.17,23.79,25.42,25.43,23.52,25.35
1923,25.01,25.52,25.75,25.78,25.68,25.91,25.75,22.16,23.76,25.49,25.52,23.46,25.26
1924,25.12,25.61,25.84,25.92,25.79,26.01,25.87,22.17,23.79,25.68,25.70,23.50,25.33
1925,24.98,25.49,25.72,25.73,25.65,25.87,25.71,22.16,23.75,25.44,25.46,23.44,25.23
1926,25.27,25.75,25.98,26.15,25.92,26.20,26.07,22.19,23.82,25.94,25.96,23.57,25.46
1927,25.05,25.57,25.78,25.80,25.75,25.98,25.78,22.17,23.79,25.51,25.53,23.50,25.32
1928,25.11,25.62,25.84,25.91,25.78,26.02,25.86,22.17,23.79,25.65,25.68,23.51,25.35
1929,25.14,25.63,25.86,25.95,25.80,26.05,25.90,22.17,23.79,25.70,25.73,23.51,25.36
1930,25.17,25.66,25.89,26.00,25.84,26.09,25.94,22.18,23.81,25.76,25.79,23.53,25.38
1931,25.29,25.77,25.99,26.18,25.94,26.22,26.09,22.19,23.82,25.98,26.00,23.58,25.46
1932,25.12,25.61,25.83,25.94,25.77,26.03,25.89,22.18,23.79,25.69,25.71,23.50,25.33
1933,25.21,25.68,25.94,26.12,25.83,26.08,26.03,22.17,23.78,25.88,25.91,23.51,25.37
1934,25.21,25.67,25.94,26.15,25.80,26.06,26.05,22.16,23.76,25.91,25.94,23.48,25.33
1935,25.20,25.68,25.93,26.09,25.84,26.09,26.01,22.16,23.78,25.86,25.89,23.51,25.37
1936,25.35,25.82,26.06,26.29,25.98,26.25,26.19,22.21,23.83,26.11,26.14,23.57,25.49
1937,25.22,25.67,25.92,26.12,25.84,26.09,26.01,22.20,23.80,25.92,25.95,23.52,25.37
1938,25.15,25.65,25.87,25.96,25.81,26.06,25.91,22.14,23.79,25.73,25.76,23.52,25.36
1939,25.20,25.68,25.90,26.07,25.84,26.09,25.99,22.16,23.79,25.86,25.88,23.52,25.38
1940,25.21,25.63,25.91,26.19,25.76,26.02,26.04,22.15,23.76,25.97,26.01,23.47,25.31
1941,25.82,26.32,26.53,26.75,26.50,26.78,26.65,22.52,24.27,26.58,26.61,24.07,26.00
1942,25.19,25.67,25.90,26.03,25.83,26.04,25.95,22.25,23.88,25.77,25.81,23.59,25.39
1943,25.12,25.61,25.85,25.95,25.77,26.01,25.89,22.14,23.79,25.70,25.73,23.52,25.34
1944,25.06,25.54,25.74,25.84,25.72,25.95,25.77,22.18,23.81,25.58,25.61,23.51,25.31
1945,25.12,25.63,25.82,25.85,25.83,26.05,25.82,22.20,23.86,25.62,25.64,23.57,25.40
1946,25.22,25.73,25.92,25.95,25.92,26.16,25.92,22.28,23.94,25.73,25.75,23.67,25.49
1947,25.37,25.86,26.08,26.26,26.02,26.28,26.18,22.21,23.87,26.07,26.10,23.65,25.54
1948,25.37,25.88,26.09,26.23,26.05,26.32,26.16,22.22,23.90,26.04,26.06,23.67,25.58
1949,25.06,25.57,25.76,25.83,25.75,25.99,25.79,22.07,23.72,25.64,25.66,23.45,25.30
1950,24.79,25.31,25.49,25.46,25.50,25.73,25.46,21.97,23.59,25.20,25.23,23.30,25.09
1951,25.30,25.82,26.03,26.09,25.99,26.25,26.06,22.28,23.92,25.88,25.90,23.66,25.54
1952,25.41,25.91,26.15,26.30,26.07,26.35,26.23,22.34,23.94,26.06,26.08,23.71,25.60
1953,25.41,25.93,26.15,26.27,26.10,26.35,26.22,22.33,23.95,26.04,26.06,23.72,25.61
1954,24.94,25.47,25.67,25.67,25.64,25.86,25.65,22.06,23.69,25.40,25.43,23.40,25.21
1955,24.94,25.45,25.63,25.64,25.64,25.88,25.62,22.07,23.70,25.41,25.43,23.41,25.22
1956,25.33,25.88,26.07,26.03,26.09,26.30,26.04,22.42,24.09,25.74,25.76,23.82,25.65
1957,25.76,26.27,26.45,26.49,26.48,26.69,26.46,22.82,24.49,26.24,26.26,24.21,26.05
1958,25.97,26.43,26.64,26.82,26.61,26.81,26.72,22.99,24.63,26.61,26.64,24.35,26.17
1959,25.52,26.00,26.22,26.34,26.19,26.43,26.28,22.51,24.17,26.11,26.14,23.88,25.73
1960,25.40,25.90,26.11,26.21,26.08,26.34,26.16,22.35,24.04,25.98,26.00,23.76,25.64
1961,25.25,25.75,25.97,26.08,25.92,26.17,26.02,22.19,23.86,25.88,25.90,23.60,25.47
1962,25.03,25.54,25.76,25.87,25.72,25.96,25.81,21.95,23.61,25.67,25.70,23.35,25.24
1963,25.39,25.89,26.12,26.22,26.07,26.32,26.16,22.33,24.00,25.99,26.02,23.75,25.62
1964,25.14,25.65,25.89,25.93,25.83,26.05,25.90,22.18,23.81,25.68,25.70,23.54,25.37
1965,25.25,25.77,26.00,26.01,25.95,26.17,25.99,22.35,23.98,25.74,25.77,23.68,25.50
1966,25.34,25.83,26.05,26.14,26.01,26.24,26.09,22.41,24.05,25.88,25.90,23.76,25.57
1967,24.96,25.47,25.68,25.77,25.65,25.91,25.73,21.97,23.62,25.50,25.52,23.34,25.20
1968,24.90,25.40,25.61,25.77,25.59,25.86,25.70,21.81,23.46,25.50,25.53,23.22,25.11
1969,25.32,25.78,26.01,26.25,25.96,26.24,26.14,22.20,23.84,26.06,26.09,23.59,25.47
1970,25.02,25.52,25.74,25.93,25.69,25.97,25.85,21.87,23.53,25.73,25.75,23.28,25.19
1971,24.63,25.11,25.34,25.49,25.33,25.60,25.43,21.55,23.21,25.23,25.25,22.95,24.84
1972,25.24,25.70,25.93,26.12,25.90,26.16,26.03,22.16,23.81,25.90,25.92,23.55,25.43
1973,25.19,25.66,25.91,26.09,25.82,26.10,26.01,22.13,23.75,25.83,25.86,23.49,25.37
1974,24.63,25.12,25.32,25.46,25.34,25.60,25.40,21.63,23.26,25.21,25.23,22.99,24.87
1975,24.42,24.91,25.15,25.24,25.07,25.34,25.19,21.46,23.04,25.06,25.08,22.75,24.59
1976,24.78,25.28,25.51,25.57,25.42,25.68,25.53,21.85,23.44,25.37,25.39,23.16,24.99
1977,25.11,25.54,25.78,25.97,25.68,25.91,25.85,22.14,23.72,25.86,25.89,23.44,25.25
1978,25.22,25.68,25.91,26.06,25.84,26.09,25.97,22.29,23.88,25.83,25.85,23.59,25.40
1979,25.28,25.78,26.01,26.09,25.95,26.18,26.03,22.36,23.94,25.85,25.87,23.67,25.50
1980,25.43,25.89,26.13,26.30,26.05,26.29,26.21,22.44,24.02,26.09,26.11,23.75,25.59
1981,25.16,25.66,25.89,25.98,25.81,26.07,25.93,22.23,23.82,25.73,25.76,23.53,25.36
1982,25.31,25.81,26.04,26.10,25.97,26.22,26.06,22.42,24.01,25.85,25.86,23.71,25.53
1983,25.81,26.27,26.49,26.66,26.44,26.68,26.57,22.85,24.45,26.43,26.45,24.16,26.00
1984,24.89,25.40,25.62,25.70,25.56,25.80,25.65,21.96,23.56,25.44,25.47,23.28,25.12
1985,25.05,25.55,25.78,25.85,25.72,25.96,25.81,22.14,23.73,25.58,25.60,23.44,25.28
1986,25.19,25.70,25.91,25.98,25.88,26.11,25.94,22.24,23.86,25.71,25.72,23.59,25.44
1987,25.76,26.26,26.47,26.52,26.44,26.67,26.49,22.91,24.50,26.22,26.24,24.20,26.02
1988,25.33,25.85,26.07,26.05,26.01,26.22,26.05,22.56,24.13,25.71,25.74,23.82,25.61
1989,25.26,25.78,26.00,26.01,25.96,26.17,26.00,22.38,23.98,25.70,25.73,23.70,25.53
1990,25.60,26.12,26.32,26.34,26.30,26.51,26.33,22.71,24.35,26.03,26.04,24.07,25.90
1991,25.63,26.11,26.33,26.41,26.30,26.53,26.36,22.74,24.36,26.14,26.16,24.05,25.86
1992,25.68,26.17,26.38,26.46,26.36,26.58,26.40,22.75,24.38,26.23,26.26,24.09,25.93
1993,25.70,26.19,26.41,26.50,26.36,26.59,26.44,22.78,24.39,26.23,26.26,24.10,25.92
1994,25.55,26.04,26.26,26.33,26.21,26.43,26.28,22.69,24.29,26.07,26.10,23.99,25.78
1995,25.63,26.10,26.35,26.44,26.28,26.52,26.38,22.71,24.31,26.19,26.21,24.02,25.85
1996,25.18,25.65,25.90,26.04,25.82,26.07,25.97,22.19,23.80,25.78,25.81,23.52,25.36
1997,25.63,26.10,26.33,26.49,26.25,26.49,26.39,22.71,24.30,26.24,26.27,24.01,25.82
1998,25.85,26.33,26.56,26.71,26.49,26.73,26.62,22.90,24.51,26.45,26.48,24.22,26.05
1999,24.99,25.48,25.73,25.84,25.63,25.88,25.78,22.02,23.61,25.59,25.62,23.34,25.18
2000,25.06,25.55,25.78,25.86,25.71,25.94,25.82,22.20,23.76,25.58,25.61,23.46,25.26
2001,25.51,25.98,26.22,26.33,26.15,26.37,26.27,22.62,24.21,26.06,26.08,23.91,25.71
2002,25.66,26.14,26.38,26.49,26.30,26.52,26.42,22.80,24.38,26.20,26.23,24.08,25.87
