Seychelles,Aldabra,Alphonse,"Anse Aux Pins","Anse Boileau","Anse Etoile","Anse Royale",Aride,Assumption,Astove,"Au Cap","Baie Lazare","Beau Vallon","Bel Air",Belombre,Bijoutier,Bird,Cascade,"Cerf Island",Conception,Cosmoledo,Cousin,Cousine,Curieuse,Darros,Denis,Desnoeufs,Desroches,"English River",Farquhar,Felicite,Fregate,Glacis,"Grand Anse Mahe","Grande Soeur","Ile du Sud","La Digue","Les Mamelles",Marie-Louise,"Mont Buxton","Mont Fleuri","North Island","Petite Soeur",Plaisance,Platte,"Pointe Larue",Poivre,"Port Glaud",Praslin,Providence,Remire,"Roche Caiman",Silhouette,"St Louis","St. Francois","St. Joseph Atoll","St. Pierre","Ste Anne",Takamaka,Therese,Coetivy
1901,25.75,26.75,26.39,26.39,25.54,25.47,26.39,26.39,26.39,26.39,26.39,25.59,25.47,25.47,25.47,25.47,25.47,25.63,25.47,25.47,25.63,25.47,25.47,25.63,25.47,25.47,25.47,26.39,25.47,26.39,25.47,26.39,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,26.39,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,26.25,25.47,26.25
1902,25.69,26.93,26.33,26.33,25.48,25.41,26.33,26.33,26.33,26.33,26.33,25.53,25.41,25.41,25.41,25.41,25.41,25.57,25.41,25.41,25.57,25.41,25.41,25.57,25.41,25.41,25.41,26.33,25.41,26.33,25.41,26.33,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,26.33,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,26.19,25.41,26.19
1903,25.92,26.82,26.56,26.56,25.70,25.63,26.56,26.56,26.56,26.56,26.56,25.75,25.63,25.63,25.63,25.63,25.63,25.79,25.63,25.63,25.79,25.63,25.63,25.79,25.63,25.63,25.63,26.56,25.63,26.56,25.63,26.56,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,26.56,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,26.42,25.63,26.42
1904,26.23,26.73,26.87,26.87,26.02,25.95,26.87,26.87,26.87,26.87,26.87,26.07,25.95,25.95,25.95,25.95,25.95,26.11,25.95,25.95,26.11,25.95,25.95,26.11,25.95,25.95,25.95,26.87,25.95,26.87,25.95,26.87,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,26.87,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,26.73,25.95,26.73
1905,26.65,26.88,27.29,27.29,26.43,26.36,27.29,27.29,27.29,27.29,27.29,26.48,26.36,26.36,26.36,26.36,26.36,26.52,26.36,26.36,26.52,26.36,26.36,26.52,26.36,26.36,26.36,27.29,26.36,27.29,26.36,27.29,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,27.29,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,27.15,26.36,27.15
1906,26.26,26.69,26.90,26.90,26.04,25.97,26.90,26.90,26.90,26.90,26.90,26.09,25.97,25.97,25.97,25.97,25.97,26.13,25.97,25.97,26.13,25.97,25.97,26.13,25.97,25.97,25.97,26.90,25.97,26.90,25.97,26.90,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,26.90,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,26.76,25.97,26.76
1907,26.06,26.75,26.70,26.70,25.84,25.77,26.70,26.70,26.70,26.70,26.70,25.89,25.77,25.77,25.77,25.77,25.77,25.93,25.77,25.77,25.93,25.77,25.77,25.93,25.77,25.77,25.77,26.70,25.77,26.70,25.77,26.70,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,26.70,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,26.56,25.77,26.56
1908,26.35,26.90,26.99,26.99,26.14,26.07,26.99,26.99,26.99,26.99,26.99,26.19,26.07,26.07,26.07,26.07,26.07,26.23,26.07,26.07,26.23,26.07,26.07,26.23,26.07,26.07,26.07,26.99,26.07,26.99,26.07,26.99,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.99,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.85,26.07,26.85
1909,26.10,26.80,26.74,26.74,25.88,25.81,26.74,26.74,26.74,26.74,26.74,25.93,25.81,25.81,25.81,25.81,25.81,25.97,25.81,25.81,25.97,25.81,25.81,25.97,25.81,25.81,25.81,26.74,25.81,26.74,25.81,26.74,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,26.74,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,26.60,25.81,26.60
1910,26.05,26.73,26.69,26.69,25.84,25.77,26.69,26.69,26.69,26.69,26.69,25.89,25.77,25.77,25.77,25.77,25.77,25.93,25.77,25.77,25.93,25.77,25.77,25.93,25.77,25.77,25.77,26.69,25.77,26.69,25.77,26.69,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,26.69,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,26.55,25.77,26.55
