Thailand,"Amnat Charoen","Ang Thong",Bangkok,Buriram,Chachoengsao,Chainat,Chaiyaphum,Chanthaburi,"Chiang Mai","Chiang Rai",Chonburi,Chumphon,Kalasin,"Kampaeng Phet",Kanchanaburi,"Khon Kaen",Krabi,Lampang,Lamphun,Loei,Lopburi,"Mae Hong Son","Maha Sarakham",Mukdahan,"Nakhon Nayok","Nakhon Pathom","Nakhon Phanom","Nakhon Ratchasima","Nakhon Sawan","Nakhon Si Thammarat",Nan,Narathiwat,"Nong Bua Lamphu","Nong Khai",Nonthaburi,"Pathum Thani",Pattani,Phachinburi,Phangnga,Phatthalung,Phayao,Phetchabun,Phetchaburi,Phichit,Phitsanulok,"Phra Nakhon Si Ayudhya",Phrae,Phuket,"Prachuap Khilikhan",Ranong,Ratchaburi,Rayong,"Roi Et","Sa Kaeo","Sakon Nakhon","Samut Prakarn","Samut Sakhon","Samut Songkham",Saraburi,Satun,"Si Saket",Singburi,Songkhla,Sukhothai,Suphanburi,"Surat Thani",Surin,Tak,Trad,Trang,"Ubon Ratchathani","Udon Thani","Uthai Thani",Uttaradit,Yala,Yasothon
1901,26.60,26.72,28.79,28.83,27.29,28.27,28.47,26.40,27.21,23.68,24.11,28.19,27.35,26.54,27.30,26.32,26.94,27.80,25.78,25.35,25.34,28.00,23.90,27.19,26.08,27.63,28.84,26.14,27.10,28.07,27.35,24.38,26.63,26.51,26.38,28.87,28.77,27.30,27.44,27.79,27.57,24.73,26.51,27.06,28.33,26.81,28.75,26.15,28.04,27.07,27.11,27.65,28.10,27.00,27.56,26.39,28.81,28.84,28.10,27.84,27.69,27.21,28.76,27.44,27.90,28.30,27.35,27.31,25.22,26.43,27.58,26.95,26.64,26.64,26.20,26.15,26.82
1902,26.52,26.73,28.67,28.77,27.27,28.23,28.34,26.34,27.23,23.50,23.94,28.16,27.29,26.53,27.16,26.13,26.90,27.74,25.64,25.20,25.27,27.91,23.73,27.17,26.08,27.57,28.73,26.14,27.05,27.96,27.36,24.27,26.66,26.46,26.34,28.78,28.68,27.30,27.39,27.64,27.60,24.59,26.42,26.96,28.22,26.72,28.65,26.02,27.88,27.02,27.01,27.51,28.10,26.98,27.54,26.37,28.76,28.75,28.00,27.77,27.70,27.22,28.64,27.48,27.78,28.16,27.29,27.30,25.06,26.44,27.58,26.96,26.60,26.50,26.11,26.19,26.81
1903,26.20,26.40,28.30,28.39,26.84,27.83,27.97,25.92,26.82,23.31,23.81,27.79,27.01,26.15,26.81,25.81,26.48,27.54,25.35,24.92,24.87,27.51,23.58,26.75,25.75,27.18,28.37,25.84,26.63,27.58,27.14,23.95,26.55,26.05,26.00,28.41,28.29,27.19,26.98,27.44,27.43,24.35,26.02,26.62,27.84,26.33,28.26,25.69,27.72,26.68,26.74,27.18,27.70,26.59,27.14,26.03,28.37,28.39,27.65,27.36,27.57,26.87,28.27,27.33,27.43,27.81,27.05,26.91,24.74,26.06,27.41,26.67,26.21,26.14,25.72,26.08,26.46
1904,26.05,26.26,28.14,28.21,26.74,27.69,27.80,25.82,26.67,23.12,23.65,27.62,26.76,26.04,26.65,25.60,26.39,27.34,25.21,24.76,24.79,27.38,23.37,26.65,25.63,27.04,28.18,25.71,26.51,27.43,26.92,23.88,26.46,25.97,25.91,28.23,28.13,27.03,26.85,27.22,27.25,24.25,25.91,26.38,27.72,26.22,28.10,25.59,27.53,26.44,26.49,26.97,27.54,26.48,27.00,25.92,28.20,28.20,27.43,27.22,27.43,26.72,28.10,27.19,27.31,27.62,26.82,26.78,24.56,25.89,27.23,26.50,26.12,25.96,25.65,25.99,26.33
1905,27.11,27.49,29.27,29.35,28.09,28.91,28.93,27.11,27.97,23.81,24.24,28.82,27.71,27.28,27.73,26.62,27.67,28.06,26.14,25.64,25.99,28.58,23.93,27.96,26.82,28.25,29.29,26.79,27.82,28.57,27.78,24.84,27.00,27.19,26.99,29.35,29.29,27.74,28.11,27.94,27.99,25.05,27.13,27.45,28.87,27.37,29.26,26.62,28.13,27.50,27.38,28.00,28.77,27.77,28.32,27.07,29.35,29.32,28.52,28.43,28.01,28.03,29.24,27.86,28.38,28.72,27.67,28.14,25.55,27.24,27.92,27.73,27.31,27.03,26.76,26.51,27.60
1906,27.17,27.49,29.34,29.41,28.11,28.95,28.98,27.13,28.01,24.00,24.40,28.86,27.77,27.30,27.80,26.70,27.70,28.11,26.25,25.78,26.02,28.63,24.17,27.99,26.81,28.28,29.35,26.80,27.86,28.63,27.81,24.89,27.00,27.23,27.00,29.41,29.34,27.74,28.14,27.98,28.00,25.17,27.17,27.51,28.92,27.42,29.31,26.68,28.17,27.55,27.44,28.09,28.81,27.78,28.35,27.08,29.40,29.38,28.57,28.48,28.03,28.04,29.30,27.87,28.43,28.78,27.71,28.14,25.65,27.26,27.95,27.74,27.34,27.10,26.79,26.53,27.60
1907,26.23,26.47,28.30,28.38,26.97,27.88,27.97,26.04,26.89,23.29,23.80,27.80,26.89,26.26,26.82,25.74,26.62,27.43,25.39,24.94,25.00,27.58,23.53,26.88,25.83,27.23,28.35,25.90,26.74,27.61,27.04,24.05,26.56,26.20,26.11,28.40,28.31,27.16,27.06,27.30,27.35,24.42,26.11,26.54,27.91,26.42,28.28,25.77,27.60,26.59,26.61,27.11,27.73,26.70,27.23,26.12,28.37,28.37,27.60,27.42,27.50,26.94,28.27,27.28,27.49,27.79,26.92,27.01,24.72,26.12,27.32,26.71,26.35,26.12,25.84,26.07,26.55
1908,26.30,26.55,28.36,28.44,27.05,27.95,28.03,26.12,26.96,23.38,23.91,27.87,26.89,26.34,26.88,25.77,26.70,27.43,25.48,25.02,25.09,27.64,23.62,26.96,25.91,27.29,28.38,25.97,26.82,27.67,27.06,24.14,26.58,26.27,26.18,28.44,28.37,27.20,27.12,27.29,27.37,24.51,26.20,26.56,27.98,26.49,28.33,25.85,27.58,26.61,26.60,27.13,27.80,26.78,27.30,26.20,28.43,28.40,27.61,27.48,27.51,27.02,28.33,27.31,27.55,27.83,26.93,27.10,24.78,26.20,27.32,26.79,26.41,26.17,25.92,26.10,26.64
1909,26.33,26.58,28.41,28.49,27.10,28.00,28.07,26.17,27.00,23.43,23.96,27.91,26.92,26.38,26.91,25.81,26.75,27.44,25.50,25.04,25.12,27.69,23.67,27.02,25.94,27.34,28.44,26.01,26.87,27.71,27.07,24.17,26.60,26.32,26.22,28.50,28.42,27.22,27.18,27.32,27.38,24.55,26.23,26.59,28.00,26.51,28.39,25.88,27.58,26.64,26.63,27.17,27.83,26.83,27.35,26.23,28.48,28.47,27.66,27.53,27.51,27.06,28.38,27.31,27.58,27.88,26.95,27.15,24.80,26.24,27.34,26.82,26.46,26.20,25.94,26.12,26.66
1910,26.15,26.41,28.22,28.30,26.89,27.79,27.89,25.95,26.81,23.20,23.74,27.72,26.79,26.19,26.73,25.65,26.53,27.36,25.30,24.84,24.91,27.48,23.43,26.80,25.77,27.14,28.26,25.85,26.65,27.52,26.98,23.98,26.53,26.11,26.03,28.31,28.22,27.14,26.97,27.22,27.30,24.34,26.02,26.44,27.81,26.33,28.19,25.68,27.53,26.50,26.52,27.02,27.65,26.64,27.15,26.04,28.29,28.28,27.51,27.33,27.46,26.87,28.19,27.25,27.38,27.69,26.85,26.94,24.63,26.04,27.26,26.66,26.26,26.03,25.75,26.05,26.49
