"Trinidad and Tobago",Arima,Chaguanas,Couva/Tabaquite/Talparo,"Diego Martin",Penal/Debe,"Point Fortin","Port Of Spain","Princes Town","Rio Claro/Mayaro","San Fernando","San Juan/Laventille","Sangre Grande",Siparia,Tobago,Tunapuna/Piarco
1901,25.93,25.71,25.72,26.01,25.91,26.10,26.40,25.90,26.09,26.09,26.09,25.72,25.75,26.39,25.95,25.71
1902,25.66,25.43,25.44,25.74,25.61,25.83,26.12,25.60,25.82,25.82,25.82,25.44,25.47,26.11,25.70,25.43
1903,25.69,25.47,25.48,25.77,25.67,25.86,26.17,25.66,25.85,25.85,25.85,25.48,25.51,26.16,25.74,25.47
1904,25.39,25.17,25.18,25.46,25.38,25.55,25.88,25.37,25.54,25.54,25.54,25.18,25.20,25.87,25.44,25.17
1905,25.55,25.32,25.33,25.63,25.52,25.72,26.01,25.51,25.71,25.71,25.71,25.33,25.36,26.00,25.59,25.32
1906,25.54,25.33,25.34,25.61,25.50,25.70,26.01,25.49,25.69,25.69,25.69,25.34,25.36,26.00,25.58,25.33
1907,25.40,25.18,25.19,25.48,25.38,25.57,25.89,25.37,25.56,25.56,25.56,25.19,25.22,25.88,25.42,25.18
1908,25.41,25.19,25.20,25.48,25.38,25.57,25.88,25.37,25.56,25.56,25.56,25.20,25.22,25.87,25.47,25.19
1909,25.42,25.21,25.22,25.49,25.41,25.58,25.90,25.40,25.57,25.57,25.57,25.22,25.24,25.89,25.46,25.21
1910,25.44,25.21,25.22,25.52,25.41,25.61,25.92,25.40,25.60,25.60,25.60,25.22,25.25,25.91,25.48,25.21
1911,25.56,25.33,25.34,25.64,25.52,25.74,26.04,25.51,25.73,25.73,25.73,25.34,25.37,26.03,25.58,25.33
1912,25.68,25.45,25.46,25.76,25.64,25.85,26.14,25.63,25.84,25.84,25.84,25.46,25.49,26.13,25.71,25.45
1913,25.37,25.16,25.17,25.44,25.33,25.53,25.86,25.32,25.52,25.52,25.52,25.17,25.19,25.85,25.39,25.16
1914,25.25,25.04,25.05,25.32,25.25,25.41,25.73,25.24,25.40,25.40,25.40,25.05,25.07,25.72,25.29,25.04
1915,25.66,25.45,25.46,25.73,25.67,25.82,26.15,25.65,25.81,25.81,25.81,25.46,25.48,26.14,25.68,25.45
1916,25.29,25.08,25.09,25.36,25.33,25.45,25.81,25.31,25.44,25.44,25.44,25.09,25.11,25.80,25.33,25.08
1917,25.44,25.20,25.21,25.52,25.36,25.62,25.91,25.35,25.61,25.61,25.61,25.21,25.24,25.90,25.42,25.20
1918,25.53,25.29,25.30,25.61,25.46,25.70,25.99,25.45,25.70,25.70,25.70,25.30,25.33,25.98,25.51,25.29
1919,25.44,25.23,25.24,25.51,25.42,25.60,25.92,25.41,25.59,25.59,25.59,25.24,25.26,25.91,25.47,25.23
1920,25.30,25.09,25.10,25.37,25.29,25.46,25.79,25.28,25.45,25.45,25.45,25.10,25.12,25.78,25.34,25.09
1921,25.43,25.19,25.20,25.51,25.37,25.60,25.89,25.36,25.60,25.60,25.60,25.20,25.23,25.88,25.44,25.19
1922,25.25,25.03,25.04,25.32,25.18,25.41,25.71,25.17,25.40,25.40,25.40,25.04,25.06,25.70,25.29,25.03
1923,25.35,25.12,25.13,25.43,25.30,25.52,25.81,25.29,25.51,25.51,25.51,25.13,25.16,25.80,25.37,25.12
1924,25.29,25.08,25.09,25.36,25.28,25.45,25.75,25.27,25.44,25.44,25.44,25.09,25.11,25.74,25.37,25.08
1925,25.38,25.16,25.17,25.45,25.33,25.54,25.85,25.32,25.53,25.53,25.53,25.17,25.19,25.84,25.43,25.16
1926,25.83,25.60,25.61,25.91,25.80,26.00,26.30,25.79,25.99,25.99,25.99,25.61,25.64,26.29,25.84,25.60
1927,25.34,25.12,25.13,25.41,25.32,25.50,25.81,25.31,25.49,25.49,25.49,25.13,25.15,25.80,25.38,25.12
1928,25.43,25.20,25.21,25.51,25.40,25.59,25.88,25.39,25.59,25.59,25.59,25.21,25.24,25.87,25.45,25.20
1929,25.21,24.98,24.99,25.29,25.17,25.37,25.66,25.16,25.37,25.37,25.37,24.99,25.02,25.65,25.25,24.98
1930,25.49,25.28,25.29,25.56,25.49,25.64,25.98,25.48,25.63,25.63,25.63,25.29,25.31,25.97,25.51,25.28
1931,25.92,25.71,25.72,25.99,25.92,26.08,26.38,25.91,26.07,26.07,26.07,25.72,25.74,26.37,25.97,25.71
1932,26.09,25.86,25.87,26.17,26.06,26.27,26.57,26.05,26.26,26.26,26.26,25.87,25.90,26.56,26.08,25.86
1933,25.46,25.24,25.25,25.53,25.44,25.62,25.94,25.43,25.61,25.61,25.61,25.25,25.27,25.93,25.49,25.24
1934,25.60,25.38,25.39,25.67,25.59,25.76,26.09,25.58,25.75,25.75,25.75,25.39,25.41,26.08,25.60,25.38
1935,25.55,25.32,25.33,25.63,25.51,25.72,26.02,25.50,25.71,25.71,25.71,25.33,25.36,26.01,25.54,25.32
1936,25.69,25.47,25.48,25.76,25.66,25.85,26.16,25.65,25.84,25.84,25.84,25.48,25.50,26.15,25.69,25.47
1937,25.94,25.72,25.73,26.02,25.90,26.11,26.40,25.89,26.10,26.10,26.10,25.73,25.76,26.39,25.95,25.72
1938,25.65,25.43,25.44,25.73,25.64,25.82,26.14,25.63,25.81,25.81,25.81,25.44,25.47,26.13,25.65,25.43
1939,25.73,25.51,25.52,25.81,25.72,25.90,26.22,25.71,25.89,25.89,25.89,25.52,25.55,26.21,25.75,25.51
1940,26.40,26.18,26.19,26.48,26.40,26.57,26.88,26.38,26.56,26.56,26.56,26.19,26.22,26.87,26.40,26.18
1941,26.54,26.33,26.34,26.61,26.54,26.70,27.03,26.53,26.69,26.69,26.69,26.34,26.36,27.02,26.56,26.33
1942,26.41,26.19,26.20,26.49,26.41,26.58,26.89,26.39,26.57,26.57,26.57,26.20,26.23,26.88,26.42,26.19
